commodity,unit,min,max,avg
गोलभेडा ठूलो(नेपाली),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
गोलभेडा ठूलो(भारतीय),केजी,रू ६०.००,रू ७०.००,रू ६५.००
गोलभेडा सानो(लोकल),के.जी.,रू १०.००,रू २०.००,रू १४.२५
गोलभेडा सानो(टनेल),के जी,रू २७.००,रू ३७.००,रू ३३.००
आलु रातो(लाम्चो),के.जी.,रू ३५.००,रू ३८.००,रू ३६.५०
रातो आलु(गोलो),के जी,रू ३०.००,रू ३२.००,रू ३१.००
आलु रातो(मुडे),केजी,रू ३३.००,रू ३५.००,रू ३४.००
प्याज सुकेको (भारतीय),के.जी.,रू ४०.००,रू ४३.००,रू ४१.२५
गाजर(लोकल),के.जी.,रू ८०.००,रू १००.००,रू ९२.५०
बन्दा(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५६.२५
काउली स्थानिय,के.जी.,रू ६०.००,रू ७०.००,रू ६३.७५
सेतो मूला(हाइब्रीड),केजी,रू १५.००,रू २०.००,रू १७.००
भन्टा लाम्चो,के.जी.,रू ३०.००,रू ४०.००,रू ३४.७५
भन्टा डल्लो,के.जी.,रू ४०.००,रू ५०.००,रू ४६.२५
बोडी(तने),के.जी.,रू २०.००,रू ३०.००,रू २६.२५
मकै बोडी,केजी,रू ४०.००,रू ५०.००,रू ४३.७५
मटरकोशा,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
घिउ सिमी(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४४.००
घिउ सिमी(हाइब्रीड),केजी,रू ४०.००,रू ५०.००,रू ४५.००
घिउ सिमी(राजमा),केजी,रू ८०.००,रू १००.००,रू ९०.००
टाटे सिमी,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
भटमासकोशा,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
तितो करेला,के.जी.,रू ३०.००,रू ४०.००,रू ३३.७५
लौका,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
परवर(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४३.७५
परवर(तराई),केजी,रू ४०.००,रू ५०.००,रू ४५.००
चिचिण्डो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
घिरौला,के.जी.,रू ५०.००,रू ६०.००,रू ५३.७५
झिगूनी,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
फर्सी पाकेको,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
फर्सी हरियो(लाम्चो),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
हरियो फर्सी(डल्लो),केजी,रू ३०.००,रू ४०.००,रू ३५.००
भिण्डी,के.जी.,रू २५.००,रू ३५.००,रू ३०.००
सखरखण्ड,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
पिंडालू,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
स्कूस,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
रायो साग,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
पालूगो साग,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
चमसूरको साग,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
प्याज हरियो,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
च्याउ(कन्य),के.जी.,रू १८०.००,रू २३०.००,रू २०७.५०
च्याउ(डल्ले),के जी,रू ३००.००,रू ३५०.००,रू ३२६.६७
राजा च्याउ,के.जी.,रू ३००.००,रू ३५०.००,रू ३२६.६७
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
कुरीलो,के.जी.,रू ३००.००,रू ३५०.००,रू ३२६.६७
न्यूरो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
ब्रोकाउली,के.जी.,रू ८०.००,रू १००.००,रू ८७.५०
चुकुन्दर,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
सजिवन,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
रातो बन्दा,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
जिरीको साग,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
सेलरी,के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
पार्सले,के.जी.,रू २००.००,रू २२०.००,रू २१०.००
सौफको साग,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
पुदीना,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
गान्टे मूला,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
इमली,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
तामा,के.जी.,रू १३०.००,रू १४०.००,रू १३५.००
तोफु,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००
गुन्दुक,के.जी.,रू ३००.००,रू ३५०.००,रू ३२६.६७
स्याउ(फूजी),के जी,रू २८०.००,रू ३००.००,रू २९०.००
केरा(नेपाली),दर्जन,रू १८०.००,रू २००.००,रू १९०.००
केरा(मालभोग),दर्जन,रू २००.००,रू २२०.००,रू २१०.००
कागती,के.जी.,रू १५०.००,रू १७०.००,रू १६०.००
अनार,के.जी.,रू ४००.००,रू ४२०.००,रू ४१०.००
आँप(मालदह),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
आँप(दसहरी),केजी,रू ९०.००,रू १००.००,रू ९५.००
तरबुजा(हरियो),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
जुनार,के.जी.,रू २००.००,रू २२०.००,रू २१०.००
भुई कटहर,प्रति गोटा,रू १८०.००,रू २००.००,रू १९०.००
काक्रो(लोकल),के.जी.,रू ५०.००,रू ७०.००,रू ५८.७५
काक्रो(हाइब्रीड),के जी,रू १०.००,रू २०.००,रू १६.२५
काक्रो(लोकलक्रस),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
रुख कटहर,के.जी.,रू ४०.००,रू ५०.००,रू ४६.२५
नासपाती(चाइनिज),केजी,रू १५०.००,रू १६०.००,रू १५५.००
मेवा(नेपाली),के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
मेवा(भारतीय),केजी,रू ९०.००,रू १००.००,रू ९५.००
