id,date,commodity,unit,min,max,avg
1,2026-01-01,अदुवा,के.जी.,60.0,80.0,70.0
2,2026-01-01,अनार,के.जी.,300.0,350.0,325.0
3,2026-01-01,अमला,के.जी,65.0,75.0,70.0
4,2026-01-01,आभोकाडो,के.जी,250.0,350.0,300.0
5,2026-01-01,आलु रातो(भारतीय),के जी,24.0,27.0,25.5
6,2026-01-01,आलु रातो(लाम्चो),के.जी.,23.0,35.0,30.14
7,2026-01-01,इमली,के.जी.,170.0,180.0,175.0
8,2026-01-01,काउली तराई,के.जी.,35.0,50.0,42.5
9,2026-01-01,काउली स्थानिय,के.जी.,45.0,60.0,55.33
10,2026-01-01,काक्रो(लोकल),के.जी.,90.0,100.0,95.0
11,2026-01-01,काक्रो(हाइब्रीड),के जी,35.0,40.0,37.5
12,2026-01-01,कागती,के.जी.,80.0,90.0,85.0
13,2026-01-01,किवि,केजी,250.0,350.0,300.0
14,2026-01-01,कुरीलो,के.जी.,1700.0,2000.0,1850.0
15,2026-01-01,केरा(नेपाली),दर्जन,180.0,200.0,190.0
16,2026-01-01,खुर्सानी हरियो(अकबरे),के जी,350.0,400.0,375.0
17,2026-01-01,खुर्सानी हरियो(बुलेट),के जी,110.0,120.0,115.0
18,2026-01-01,खुर्सानी हरियो(माछे),के जी,80.0,100.0,86.67
19,2026-01-01,खुर्सानी हरियो(लाम्चो),के जी,90.0,100.0,95.0
20,2026-01-01,खु्र्सानी सुकेको,के.जी.,380.0,420.0,400.0
21,2026-01-01,गाजर(तराई),केजी,65.0,70.0,67.5
22,2026-01-01,गाजर(लोकल),के.जी.,70.0,80.0,73.33
23,2026-01-01,गान्टे मूला,के.जी.,70.0,80.0,75.0
24,2026-01-01,गुन्दुक,के.जी.,350.0,400.0,375.0
25,2026-01-01,गोलभेडा ठूलो(नेपाली),के.जी.,100.0,110.0,105.0
26,2026-01-01,गोलभेडा ठूलो(भारतीय),केजी,110.0,120.0,115.0
27,2026-01-01,गोलभेडा सानो(टनेल),के जी,80.0,108.0,95.43
28,2026-01-01,गोलभेडा सानो(तराई),के जी,80.0,95.0,89.29
29,2026-01-01,गोलभेडा सानो(भारतीय),के जी,85.0,95.0,90.0
30,2026-01-01,गोलभेडा सानो(लोकल),के.जी.,65.0,87.0,73.86
31,2026-01-01,ग्याठ कोबी,के.जी.,70.0,85.0,77.5
32,2026-01-01,घिउ सिमी(राजमा),केजी,140.0,160.0,150.0
33,2026-01-01,घिउ सिमी(लोकल),के.जी.,80.0,100.0,87.5
34,2026-01-01,घिउ सिमी(हाइब्रीड),केजी,70.0,80.0,75.0
35,2026-01-01,घिरौला,के.जी.,100.0,110.0,105.0
36,2026-01-01,चमसूरको साग,के.जी.,60.0,80.0,70.0
37,2026-01-01,चुकुन्दर,के.जी.,70.0,80.0,75.0
38,2026-01-01,च्याउ(कन्य),के.जी.,80.0,120.0,101.67
39,2026-01-01,च्याउ(डल्ले),के जी,320.0,380.0,346.67
40,2026-01-01,छ्यापी सुकेको,के.जी.,180.0,200.0,190.0
41,2026-01-01,छ्यापी हरियो,के.जी.,150.0,180.0,165.0
42,2026-01-01,जिरीको साग,के.जी.,120.0,150.0,135.0
43,2026-01-01,जुनार,के.जी.,100.0,120.0,110.0
44,2026-01-01,टाटे सिमी,के.जी.,70.0,80.0,76.67
45,2026-01-01,तरबुजा(हरियो),के.जी.,90.0,100.0,95.0
46,2026-01-01,तरुल,के.जी.,60.0,70.0,65.0
47,2026-01-01,ताजा माछा(छडी),के जी,230.0,250.0,240.0
48,2026-01-01,ताजा माछा(बचुवा),के जी,260.0,280.0,270.0
49,2026-01-01,ताजा माछा(रहु),के जी,320.0,340.0,330.0
50,2026-01-01,तामा,के.जी.,110.0,120.0,115.0
51,2026-01-01,तितो करेला,के.जी.,100.0,110.0,107.5
52,2026-01-01,तोफु,के.जी.,130.0,150.0,140.0
53,2026-01-01,तोरीको साग,के.जी.,40.0,50.0,45.0
54,2026-01-01,नासपाती(चाइनिज),केजी,200.0,230.0,215.0
