commodity,Average_Price,Minimum_Price,Maximum_Price,Price_Volatility,Days_Available
सिताके च्याउ,899.424619047619,850.0,925.0,5.45,210
माछा सुकेको,893.435754189944,450.0,900.0,47.66,179
कुरीलो,490.4548387096771,266.67,2300.0,437.24,155
खुर्सानी हरियो(अकबरे),486.3585555555554,175.0,850.0,216.32,180
आभोकाडो,472.6811594202899,275.0,750.0,206.42,138
खु्र्सानी सुकेको,425.048095238095,375.0,525.0,34.61,210
स्ट्रबेरी भुईऐसेलु,416.5656565656566,275.0,500.0,85.56,99
च्याउ(डल्ले),382.8878571428571,225.0,525.0,52.1,210
अनार,378.05342857142864,300.0,475.0,60.64,210
ड्रागन फ्रुट(नेपाली),375.0,375.0,375.0,0.0,4
अंगुर(कालो),362.1619811320755,300.0,425.0,40.89,106
पार्सले,335.34859903381624,175.0,650.0,141.24,207
ताजा माछा(रहु),330.6309523809524,325.0,335.0,2.13,210
किवि,319.2819166666667,235.0,475.0,67.63,120
गुन्दुक,307.7528571428569,230.0,376.67,37.1,210
राजा च्याउ,294.5738571428571,290.0,328.0,9.09,210
लीच्ची(भारतीय),291.02061224489796,260.0,326.67,17.76,49
स्याउ(फूजी),287.8895215311005,265.0,325.0,13.7,209
ताजा माछा(बचुवा),285.5952380952381,270.0,305.0,13.12,210
कोइरालो,274.05384615384617,160.0,375.0,46.89,65
ताजा माछा(छडी),259.6309523809524,240.0,336.67,25.51,210
रुख टमाटर,254.21341463414635,220.0,290.0,20.45,82
स्याउ(झोले),231.6546376811594,205.0,290.0,11.45,138
अंगुर(हरियो),231.5948275862069,195.0,310.0,28.66,116
नासपाती(चाइनिज),228.47713450292395,155.0,260.0,24.05,171
लसुन सुकेको चाइनिज,223.67555555555558,173.33,456.25,41.53,207
लीच्ची(लोकल),212.4310416666667,95.0,290.0,40.04,48
कागती,211.14734299516908,85.0,390.0,84.48,207
केरा(मालभोग),200.5,190.0,226.67,10.39,80
पुदीना,198.62819047619047,70.0,450.0,95.31,210
केरा(नेपाली),195.97099999999992,150.0,275.0,25.77,200
शरीफा,190.0,190.0,190.0,0.0,3
च्याउ(कन्य),179.13885714285712,60.0,290.0,65.04,210
सजिवन,178.01456790123444,90.0,400.0,80.79,162
भुई कटहर,177.4267149758454,135.0,240.0,31.98,207
इमली,174.3372857142857,150.0,190.0,4.48,210
जुनार,173.7155,110.0,285.0,71.52,120
लसुन सुकेको नेपाली,162.30113513513513,85.0,250.0,36.32,185
नरिवल(हरियो),160.99541666666667,155.0,170.0,3.39,72
सेलरी,158.22663461538468,95.0,320.0,45.26,208
लप्सी,150.02988095238095,55.0,290.0,75.52,84
सुन्तला(नेपाली),144.1571153846154,95.0,180.0,23.58,52
सुन्तला(भारतीय),144.03508771929825,135.0,160.0,6.84,57
आँप(दसहरी),143.6764705882353,95.0,260.0,47.77,68
तोफु,143.37300000000002,130.0,155.0,5.01,210
छ्यापी सुकेको,135.5101360544218,95.0,190.0,27.99,147
तामा,131.49204761904764,115.0,150.0,13.39,210
भटमासकोशा,131.34009090909092,80.0,325.0,47.64,110
छ्यापी हरियो,125.15486725663717,55.0,190.0,45.69,113
आँप(मालदह),122.41666666666667,63.75,225.0,41.77,63
अमला,120.50961538461539,70.0,290.0,52.11,104
अदुवा,120.2202380952381,70.0,225.0,38.81,210
किनु,117.79546511627906,103.33,125.0,4.22,86
मौसम,114.96268656716418,95.0,135.0,9.88,67
लसुन हरियो,110.17789473684192,37.5,195.0,54.29,209
घिउ सिमी(राजमा),98.9642,55.0,155.0,21.12,200
मेवा(भारतीय),98.76201923076923,80.0,110.0,9.05,208
नासपाती(लोकल),96.61764705882354,75.0,117.5,16.27,17
तितो करेला,94.45679425837325,15.0,210.0,57.83,209
परवर(तराई),93.2470588235294,25.0,230.0,65.05,153
खुर्सानी हरियो(लाम्चो),93.18755980861246,27.0,290.0,46.07,209
हरियो धनिया,91.75730769230768,35.0,375.0,58.25,208
खुर्सानी हरियो(बुलेट),87.10066985645932,17.0,280.0,47.17,209
जिरीको साग,85.86538461538461,35.0,175.0,29.5,208
न्यूरो,84.08510638297872,65.0,155.0,11.7,141
प्याज हरियो,83.17717703349281,35.0,190.0,35.58,209
भेडे खु्र्सानी,81.82961904761905,36.25,160.0,21.57,210
भिण्डी,81.21282296650718,25.0,155.0,40.08,209
सौफको साग,79.54063414634146,35.0,175.0,26.33,205
टाटे सिमी,79.29469273743017,37.5,130.0,24.8,179
मटरकोशा,78.66375000000001,25.0,191.25,44.89,168
घिउ सिमी(लोकल),78.5435885167464,15.0,205.0,36.83,209
गोलभेडा ठूलो(भारतीय),77.67786585365853,36.5,122.5,14.99,164
पालूगो साग,77.02147619047619,27.5,266.67,33.46,210
सखरखण्ड,76.37965517241379,53.75,110.0,17.82,203
मेथीको साग,75.65746753246754,35.0,160.0,22.25,154
ब्रोकाउली,74.65985436893203,20.0,136.25,29.1,206
काक्रो(लोकल),73.79495238095238,25.0,162.5,32.1,210
चमसूरको साग,72.99396907216494,25.0,125.0,23.96,194
मेवा(नेपाली),72.698,57.5,85.0,10.39,210
बोडी(तने),72.67856115107914,23.33,170.0,40.21,139
रुख कटहर,71.75732919254659,32.5,112.5,26.75,161
नरिवल(काँचो),70.625,65.0,75.0,3.97,68
तरुल,69.26330357142857,45.0,106.67,10.16,112
घिउ सिमी(हाइब्रीड),68.88947368421053,25.0,140.0,29.02,209
खुर्सानी हरियो(माछे),67.46405797101448,33.33,115.0,17.77,207
घिरौला,67.37796703296702,23.0,140.0,33.36,182
निबुवा,65.69783132530121,60.0,80.0,5.75,83
स्थानीय काउली(ज्यापु),64.89622950819673,29.5,130.0,24.35,122
रातो बन्दा,64.61942307692308,25.0,210.0,41.59,208
पिंडालू,64.12822966507177,35.0,95.0,19.45,209
गाजर(लोकल),63.36742857142857,25.0,115.0,23.89,210
झिगूनी,62.395348837209305,35.0,110.0,16.28,86
चुकुन्दर,61.896328502415464,45.0,86.25,7.9,207
बकूला,60.23157894736842,25.0,106.67,22.26,114
गान्टे मूला,60.0854358974359,43.33,225.0,26.65,195
तरबुजा(हरियो),59.84254807692308,32.5,95.0,20.39,208
मकै बोडी,59.49893805309735,28.75,95.0,18.35,113
गोलभेडा ठूलो(नेपाली),59.475882352941184,33.0,110.0,20.86,85
सलगम,58.322784810126585,45.0,85.0,14.3,79
ग्याठ कोबी,58.00847457627118,45.0,77.5,8.69,118
बरेला,57.58147826086957,25.0,100.0,13.22,115
परवर(लोकल),56.57820754716981,25.0,226.67,25.31,106
भन्टा डल्लो,56.554,25.0,85.0,15.32,210
लौका,55.62660287081339,13.75,105.0,19.52,209
काक्रो(लोकलक्रस),55.23899999999999,20.0,140.0,18.5,160
स्कूस,55.01175879396985,27.5,90.0,13.56,199
काउली स्थानिय,53.94385714285715,19.4,115.0,22.96,210
फर्सी पाकेको,52.810761904761904,35.0,65.0,6.1,210
रायो साग,52.63909523809524,16.25,225.0,36.72,210
गोलभेडा सानो(तराई),52.21111888111888,22.5,113.86,19.64,143
गोलभेडा सानो(भारतीय),48.27442028985507,24.13,115.0,19.97,138
गोलभेडा सानो(टनेल),47.124814814814826,13.44,122.5,26.28,135
भन्टा लाम्चो,46.665,13.75,85.0,15.92,210
काउली तराई,45.89389473684211,20.0,95.0,19.37,95
गाजर(तराई),45.00929487179488,17.5,95.0,22.4,156
मकै(हरियो),45.0,45.0,45.0,0.0,9
तोरीको साग,43.025287958115186,16.75,175.0,24.12,191
प्याज सुकेको (भारतीय),41.77209523809523,34.0,55.83,7.04,210
बन्दा(लोकल),41.42195238095238,20.0,70.0,12.21,210
चिचिण्डो,39.90739130434783,15.0,116.25,20.78,115
आलु रातो(मुडे),39.000727272727275,23.0,51.56,6.74,55
फर्सी हरियो(लाम्चो),38.35517766497462,12.5,90.0,18.57,197
काक्रो(हाइब्रीड),35.95625,12.5,120.0,21.95,208
बन्दा(तराई),35.20173913043478,17.5,51.0,8.59,69
गोलभेडा सानो(लोकल),35.17802955665026,6.67,102.5,20.09,203
रातो आलु(गोलो),34.45456790123457,20.75,50.78,8.55,81
हरियो फर्सी(डल्लो),33.70433333333333,11.0,85.0,15.07,210
मूला रातो,33.13465648854963,17.5,140.0,11.22,131
बन्दा(नरिवल),32.233799999999995,16.75,55.0,10.21,100
आलु सेतो,30.375208333333337,24.67,36.25,2.4,48
आलु रातो(लाम्चो),29.196714285714286,17.5,50.0,8.5,210
आलु रातो(भारतीय),25.566318681318684,21.0,42.33,3.76,182
हरियो मकै,22.5,22.5,22.5,,1
सेतो मूला(हाइब्रीड),20.35666666666667,14.0,31.67,3.46,204
मूला सेतो(लोकल),15.54072072072072,12.5,25.0,2.7,111
