commodity,First_Price,Last_Price,Percent_Change
अंगुर(कालो),425.0,425.0,0.0
अंगुर(हरियो),210.0,260.0,23.809523809523807
अदुवा,70.0,214.17,205.95714285714286
अनार,325.0,475.0,46.15384615384615
अमला,70.0,260.0,271.42857142857144
आँप(दसहरी),235.0,190.0,-19.148936170212767
आँप(मालदह),225.0,190.0,-15.555555555555555
आभोकाडो,300.0,750.0,150.0
आलु रातो(भारतीय),25.5,42.33,65.99999999999999
आलु रातो(मुडे),23.0,50.67,120.30434782608697
आलु रातो(लाम्चो),30.14,49.83,65.32846715328466
आलु सेतो,28.0,33.0,17.857142857142858
इमली,175.0,170.0,-2.857142857142857
काउली तराई,42.5,35.0,-17.647058823529413
काउली स्थानिय,55.33,95.0,71.6970901861558
काक्रो(लोकल),95.0,45.0,-52.63157894736842
काक्रो(लोकलक्रस),130.0,36.67,-71.79230769230769
काक्रो(हाइब्रीड),37.5,17.5,-53.333333333333336
कागती,85.0,170.0,100.0
किनु,115.0,125.0,8.695652173913043
किवि,300.0,475.0,58.333333333333336
कुरीलो,1850.0,450.0,-75.67567567567568
केरा(नेपाली),190.0,250.0,31.57894736842105
केरा(मालभोग),210.0,190.0,-9.523809523809524
कोइरालो,375.0,335.0,-10.666666666666668
खुर्सानी हरियो(अकबरे),375.0,180.0,-52.0
खुर्सानी हरियो(बुलेट),115.0,74.5,-35.21739130434783
खुर्सानी हरियो(माछे),86.67,65.0,-25.00288450444214
खुर्सानी हरियो(लाम्चो),95.0,84.5,-11.052631578947368
खु्र्सानी सुकेको,400.0,525.0,31.25
गाजर(तराई),67.5,75.0,11.11111111111111
गाजर(लोकल),73.33,105.0,43.188326742124644
गान्टे मूला,75.0,175.0,133.33333333333331
गुन्दुक,375.0,325.0,-13.333333333333334
गोलभेडा ठूलो(नेपाली),105.0,44.38,-57.73333333333333
गोलभेडा ठूलो(भारतीय),115.0,36.5,-68.26086956521739
गोलभेडा सानो(टनेल),95.43,24.38,-74.45247825631354
गोलभेडा सानो(तराई),89.29,22.5,-74.80120954194199
गोलभेडा सानो(भारतीय),90.0,27.5,-69.44444444444444
गोलभेडा सानो(लोकल),73.86,16.83,-77.2136474411048
ग्याठ कोबी,77.5,45.0,-41.935483870967744
घिउ सिमी(राजमा),150.0,140.0,-6.666666666666667
घिउ सिमी(लोकल),87.5,108.33,23.805714285714284
घिउ सिमी(हाइब्रीड),75.0,97.5,30.0
घिरौला,105.0,54.17,-48.409523809523805
चमसूरको साग,70.0,110.0,57.14285714285714
चिचिण्डो,110.0,26.25,-76.13636363636364
चुकुन्दर,75.0,65.0,-13.333333333333334
च्याउ(कन्य),101.67,260.0,155.72932035015242
च्याउ(डल्ले),346.67,475.0,37.017913289295294
छ्यापी सुकेको,190.0,188.33,-0.878947368421046
छ्यापी हरियो,165.0,95.0,-42.42424242424242
जिरीको साग,135.0,175.0,29.629629629629626
जुनार,110.0,285.0,159.0909090909091
झिगूनी,110.0,65.0,-40.909090909090914
टाटे सिमी,76.67,110.0,43.47202295552367
ड्रागन फ्रुट(नेपाली),375.0,375.0,0.0
तरबुजा(हरियो),95.0,65.0,-31.57894736842105
तरुल,65.0,55.0,-15.384615384615385
ताजा माछा(छडी),240.0,290.0,20.833333333333336
ताजा माछा(बचुवा),270.0,290.0,7.4074074074074066
ताजा माछा(रहु),330.0,330.0,0.0
तामा,115.0,150.0,30.434782608695656
तितो करेला,107.5,65.0,-39.53488372093023
तोफु,140.0,148.33,5.950000000000009
तोरीको साग,45.0,125.0,177.77777777777777
नरिवल(काँचो),75.0,70.0,-6.666666666666667
नरिवल(हरियो),160.0,160.0,0.0
नासपाती(चाइनिज),215.0,260.0,20.930232558139537
नासपाती(लोकल),117.5,75.0,-36.17021276595745
निबुवा,65.0,75.0,15.384615384615385
न्यूरो,75.0,95.0,26.666666666666668
परवर(तराई),155.0,65.0,-58.06451612903226
परवर(लोकल),226.67,65.0,-71.3239511183659
पार्सले,650.0,450.0,-30.76923076923077
