commodity,Average_Price,Price_Volatility,Minimum_Price,Maximum_Price,Days_Available
कुरीलो,490.4548387096771,437.24,266.67,2300.0,155
खुर्सानी हरियो(अकबरे),486.3585555555554,216.32,175.0,850.0,180
आभोकाडो,472.6811594202899,206.42,275.0,750.0,138
पार्सले,335.34859903381624,141.24,175.0,650.0,207
पुदीना,198.62819047619047,95.31,70.0,450.0,210
स्ट्रबेरी भुईऐसेलु,416.5656565656566,85.56,275.0,500.0,99
कागती,211.14734299516908,84.48,85.0,390.0,207
सजिवन,178.01456790123444,80.79,90.0,400.0,162
लप्सी,150.02988095238095,75.52,55.0,290.0,84
जुनार,173.7155,71.52,110.0,285.0,120
किवि,319.2819166666667,67.63,235.0,475.0,120
परवर(तराई),93.2470588235294,65.05,25.0,230.0,153
च्याउ(कन्य),179.13885714285712,65.04,60.0,290.0,210
अनार,378.05342857142864,60.64,300.0,475.0,210
हरियो धनिया,91.75730769230768,58.25,35.0,375.0,208
तितो करेला,94.45679425837325,57.83,15.0,210.0,209
लसुन हरियो,110.17789473684192,54.29,37.5,195.0,209
अमला,120.50961538461539,52.11,70.0,290.0,104
च्याउ(डल्ले),382.8878571428571,52.1,225.0,525.0,210
आँप(दसहरी),143.6764705882353,47.77,95.0,260.0,68
माछा सुकेको,893.435754189944,47.66,450.0,900.0,179
भटमासकोशा,131.34009090909092,47.64,80.0,325.0,110
खुर्सानी हरियो(बुलेट),87.10066985645932,47.17,17.0,280.0,209
कोइरालो,274.05384615384617,46.89,160.0,375.0,65
खुर्सानी हरियो(लाम्चो),93.18755980861246,46.07,27.0,290.0,209
छ्यापी हरियो,125.15486725663717,45.69,55.0,190.0,113
सेलरी,158.22663461538468,45.26,95.0,320.0,208
मटरकोशा,78.66375000000001,44.89,25.0,191.25,168
आँप(मालदह),122.41666666666667,41.77,63.75,225.0,63
रातो बन्दा,64.61942307692308,41.59,25.0,210.0,208
लसुन सुकेको चाइनिज,223.67555555555558,41.53,173.33,456.25,207
अंगुर(कालो),362.1619811320755,40.89,300.0,425.0,106
बोडी(तने),72.67856115107914,40.21,23.33,170.0,139
भिण्डी,81.21282296650718,40.08,25.0,155.0,209
लीच्ची(लोकल),212.4310416666667,40.04,95.0,290.0,48
अदुवा,120.2202380952381,38.81,70.0,225.0,210
गुन्दुक,307.7528571428569,37.1,230.0,376.67,210
घिउ सिमी(लोकल),78.5435885167464,36.83,15.0,205.0,209
रायो साग,52.63909523809524,36.72,16.25,225.0,210
लसुन सुकेको नेपाली,162.30113513513513,36.32,85.0,250.0,185
प्याज हरियो,83.17717703349281,35.58,35.0,190.0,209
खु्र्सानी सुकेको,425.048095238095,34.61,375.0,525.0,210
पालूगो साग,77.02147619047619,33.46,27.5,266.67,210
घिरौला,67.37796703296702,33.36,23.0,140.0,182
काक्रो(लोकल),73.79495238095238,32.1,25.0,162.5,210
भुई कटहर,177.4267149758454,31.98,135.0,240.0,207
जिरीको साग,85.86538461538461,29.5,35.0,175.0,208
ब्रोकाउली,74.65985436893203,29.1,20.0,136.25,206
